iter	Passed	Remaining
415	1134	1592
416	1137	1589
417	1139	1586
418	1141	1582
419	1143	1579
420	1145	1575
421	1148	1572
422	1150	1569
423	1152	1566
424	1154	1562
425	1157	1559
426	1159	1555
427	1161	1551
428	1164	1549
429	1166	1546
430	1168	1542
431	1170	1539
432	1173	1536
433	1175	1532
434	1178	1530
435	1181	1528
436	1184	1525
437	1187	1524
438	1190	1521
439	1193	1519
440	1196	1516
441	1198	1512
442	1200	1509
443	1202	1506
444	1204	1502
445	1207	1499
446	1210	1496
447	1212	1494
448	1214	1490
449	1216	1486
450	1218	1482
451	1220	1479
452	1222	1475
453	1224	1473
454	1227	1469
455	1229	1466
456	1231	1463
457	1233	1459
458	1236	1457
459	1239	1454
460	1241	1452
461	1244	1449
462	1246	1445
463	1248	1442
464	1251	1439
465	1253	1436
466	1255	1433
467	1257	1429
468	1259	1426
469	1262	1423
470	1264	1420
471	1267	1417
472	1269	1414
473	1272	1411
474	1274	1408
475	1275	1404
476	1278	1401
477	1280	1398
478	1283	1395
479	1285	1392
480	1287	1389
481	1289	1386
482	1291	1382
483	1294	1380
484	1297	1378
485	1300	1374
486	1302	1371
487	1304	1368
488	1306	1365
489	1308	1362
490	1312	1360
491	1314	1357
492	1316	1353
493	1318	1350
494	1321	1347
495	1323	1344
496	1326	1342
497	1328	1339
498	1331	1337
499	1334	1334
500	1335	1330
501	1338	1327
502	1340	1324
503	1342	1321
504	1344	1318
505	1346	1315
506	1348	1311
507	1351	1308
508	1353	1306
509	1356	1303
510	1359	1300
511	1361	1297
512	1363	1294
513	1365	1291
514	1368	1288
515	1370	1285
516	1372	1282
517	1375	1279
518	1377	1276
519	1379	1273
520	1381	1270
521	1384	1267
522	1386	1264
523	1388	1261
524	1390	1258
525	1392	1254
526	1394	1251
527	1396	1248
528	1399	1246
529	1401	1242
530	1404	1240
531	1406	1237
532	1408	1234
533	1412	1232
534	1414	1229
535	1416	1226
536	1418	1223
537	1421	1220
538	1423	1217
539	1425	1214
540	1428	1211
541	1430	1208
542	1432	1205
543	1434	1202
544	1437	1199
545	1439	1196
546	1441	1194
547	1444	1191
548	1446	1188
549	1448	1185
550	1451	1182
551	1453	1179
552	1456	1177
553	1459	1174
554	1461	1171
555	1463	1168
556	1466	1165
557	1469	1163
558	1471	1160
559	1473	1158
560	1476	1155
561	1478	1152
562	1480	1149
563	1482	1146
564	1484	1143
565	1487	1140
566	1489	1137
567	1491	1134
568	1493	1131
569	1496	1128
570	1498	1125
571	1501	1123
572	1503	1120
573	1505	1117
574	1508	1114
575	1510	1111
576	1512	1108
577	1515	1106
578	1517	1103
579	1520	1100
580	1522	1098
581	1525	1095
582	1527	1092
583	1531	1091
584	1533	1088
585	1536	1085
586	1538	1082
587	1540	1079
588	1542	1076
589	1547	1075
590	1550	1072
591	1552	1070
592	1555	1067
593	1557	1064
594	1561	1062
595	1564	1060
596	1566	1057
597	1568	1054
598	1570	1051
599	1574	1049
600	1577	1047
601	1579	1044
602	1581	1041
603	1583	1038
604	1585	1035
605	1590	1033
606	1592	1031
607	1595	1028
608	1597	1025
609	1600	1022
610	1602	1020
611	1604	1017
612	1606	1014
613	1608	1011
614	1610	1008
615	1613	1005
616	1615	1002
617	1617	999
618	1620	997
619	1622	994
620	1624	991
621	1626	988
622	1628	985
623	1631	983
624	1634	980
625	1636	977
626	1638	974
627	1640	971
628	1642	968
629	1644	966
630	1647	963
631	1650	961
632	1652	958
633	1655	955
634	1657	952
635	1659	949
636	1661	946
637	1663	944
638	1666	941
639	1668	938
640	1670	935
641	1672	932
642	1674	929
643	1677	927
644	1680	924
645	1682	921
646	1684	918
647	1686	915
648	1688	913
649	1691	911
650	1694	908
651	1696	905
652	1698	902
653	1701	899
654	1703	897
655	1705	894
656	1708	891
657	1710	889
658	1712	886
659	1714	883
660	1716	880
661	1719	877
662	1722	875
663	1724	872
664	1726	869
665	1728	866
666	1730	864
667	1732	861
668	1735	858
669	1737	856
670	1740	853
671	1742	850
672	1744	847
673	1746	844
674	1749	842
675	1751	839
676	1753	836
677	1757	834
678	1759	831
679	1761	829
680	1765	826
681	1767	824
682	1769	821
683	1771	818
684	1773	815
685	1775	812
686	1778	810
687	1780	807
688	1782	804
689	1784	801
690	1786	799
691	1788	796
692	1790	793
693	1793	790
694	1795	788
695	1797	785
696	1799	782
697	1801	779
698	1804	776
699	1806	774
700	1808	771
701	1810	768
702	1812	765
703	1814	763
704	1816	760
705	1819	757
706	1821	754
707	1823	752
708	1825	749
709	1827	746
710	1829	743
711	1832	741
712	1834	738
713	1836	735
714	1838	733
715	1841	730
716	1843	727
717	1845	724
718	1847	722
719	1850	719
720	1853	717
721	1855	714
722	1857	711
723	1859	708
724	1861	706
725	1863	703
726	1866	700
727	1868	698
728	1870	695
729	1872	692
730	1874	689
731	1876	687
732	1878	684
733	1881	681
734	1884	679
735	1886	676
736	1888	673
737	1890	671
738	1892	668
739	1896	666
740	1898	663
741	1900	660
742	1903	658
743	1905	655
744	1907	652
745	1909	650
746	1912	647
747	1914	644
748	1916	642
749	1918	639
750	1920	636
751	1922	634
752	1925	631
753	1927	628
754	1929	626
755	1931	623
756	1933	620
757	1935	617
758	1937	615
759	1940	612
760	1942	610
761	1944	607
762	1946	604
763	1949	602
764	1951	599
765	1953	596
766	1956	594
767	1958	591
768	1960	588
769	1962	586
770	1964	583
771	1966	580
772	1970	578
773	1972	575
774	1974	573
775	1976	570
776	1978	567
777	1980	565
778	1984	562
779	1986	560
780	1988	557
781	1990	554
782	1992	552
783	1994	549
784	1998	547
785	2000	544
786	2002	542
787	2004	539
788	2006	536
789	2009	534
790	2011	531
791	2014	528
792	2016	526
793	2018	523
794	2020	521
795	2022	518
796	2026	516
797	2028	513
798	2031	510
799	2033	508
800	2035	505
801	2037	503
802	2039	500
803	2042	497
804	2045	495
805	2047	492
806	2050	490
807	2052	487
808	2053	484
809	2056	482
810	2058	479
811	2060	477
812	2063	474
813	2065	471
814	2067	469
815	2069	466
816	2071	464
817	2074	461
818	2076	458
819	2078	456
820	2080	453
821	2082	450
822	2084	448
823	2087	445
824	2089	443
825	2091	440
826	2093	437
827	2095	435
828	2098	432
829	2100	430
830	2102	427
831	2104	424
832	2106	422
833	2108	419
834	2110	417
835	2112	414
836	2115	412
837	2118	409
838	2120	406
839	2124	404
840	2127	402
841	2130	399
842	2132	397
843	2134	394
844	2136	391
845	2138	389
846	2140	386
847	2142	384
848	2145	381
849	2147	378
850	2149	376
851	2151	373
852	2153	371
853	2155	368
854	2157	365
855	2160	363
856	2162	360
857	2164	358
858	2166	355
859	2169	353
860	2171	350
861	2173	348
862	2176	345
863	2178	342
864	2180	340
865	2183	337
866	2185	335
867	2188	332
868	2190	330
869	2193	327
870	2195	325
871	2197	322
872	2199	319
873	2201	317
874	2203	314
875	2206	312
876	2208	309
877	2210	307
878	2213	304
879	2215	302
880	2218	299
881	2220	297
882	2222	294
883	2224	291
884	2226	289
885	2228	286
886	2231	284
887	2233	281
888	2236	279
889	2238	276
890	2240	274
891	2242	271
892	2244	268
893	2247	266
894	2249	263
895	2251	261
896	2253	258
897	2255	256
898	2258	253
899	2260	251
900	2262	248
901	2264	246
902	2266	243
903	2269	240
904	2270	238
905	2273	235
906	2292	235
907	2294	232
908	2297	230
909	2299	227
910	2301	224
911	2304	222
912	2306	219
913	2308	217
914	2311	214
915	2313	212
916	2315	209
917	2317	207
918	2320	204
919	2322	201
920	2324	199
921	2327	196
922	2329	194
923	2330	191
924	2332	189
925	2334	186
926	2337	184
927	2339	181
928	2341	178
929	2343	176
930	2346	173
931	2348	171
932	2350	168
933	2352	166
934	2354	163
935	2356	161
936	2359	158
937	2361	156
938	2363	153
939	2366	151
940	2368	148
941	2370	145
942	2372	143
943	2374	140
944	2376	138
945	2378	135
946	2381	133
947	2383	130
948	2385	128
949	2387	125
950	2389	123
951	2391	120
952	2395	118
953	2397	115
954	2400	113
955	2401	110
956	2404	108
957	2406	105
958	2408	102
959	2411	100
960	2413	97
961	2415	95
962	2417	92
963	2419	90
964	2421	87
965	2424	85
966	2427	82
967	2429	80
968	2432	77
969	2434	75
970	2436	72
971	2438	70
972	2441	67
973	2443	65
974	2445	62
975	2447	60
976	2449	57
977	2451	55
978	2454	52
979	2456	50
980	2458	47
981	2460	45
982	2463	42
983	2465	40
984	2469	37
985	2471	35
986	2473	32
987	2475	30
988	2478	27
989	2480	25
990	2482	22
991	2485	20
992	2487	17
993	2489	15
994	2491	12
995	2493	10
996	2495	7
997	2498	5
998	2500	2
999	2502	0
